A woman in a brownish-orange sweater is sitting by a lake.	A woman is knitting a sweater by the lake.	Contradiction
Three dark kids on a water tricycle.	Two children are playing on the beach.	Contradiction
Young person sitting in the doorway of a house with a water hand pump in front of the house.	The young person is sitting down.	Entailment
The dark-skinned man is laying in a doorway next to a metal pipe.	The man is next to a pipe.	Entailment
A business event is taking place with an attractive blond woman smiling at the camera with her phone in her hand.	"The woman is proud to have won the ""Salesperson of the Year"" award."	Neutral
A man sitting at a small outdoor table is conversing on his cellphone while working on his laptop.	A man is using a laptop.	Entailment
A young child is playing in a water tank with toys.	A child is playing in water.	Entailment
A man in a light blue t-shirt is walking carefully on a platform.	This man is walking	Entailment
A man hammers plywood on a roof.	A man with a hammer is on the ground	Contradiction
A lady is standing in the sun holding an umbrella.	The lady is standing outside in the sun with her umbrella.	Entailment
Several adults are filling their cups and a drink machine.	People fill their cups from a fresh mountain spring.	Contradiction
A man and a boy engage in a game of Ping-Pong.	Two people play ping pong.	Entailment
Four guys are in a field playing Frisbee.	they are playing on teams	Neutral
A little boy in a green shirt is attempting to brush his sister's hair while she pulls away.	A young boy is brushing his sister's hair but she doesn't want him to.	Neutral
A man and a woman sit on wicker couches in a large white room.	There is a man and woman sitting on couches.	Entailment
A young couple showing affection in front of a beer advertisement.	The couple is white	Neutral
A group of people picnic on a grassy hill near the ocean.	A family eat a meal together at the beach.	Neutral
Six bicyclists are competing in a race, and several of them seem to be about to fall over.	Six bicyclist search for new bicycles inside of a Walmart.	Contradiction
A bicyclist in a helmet and a man in a business suit both talk on cellphones near a fountain.	A bicyclist talks on a cellphone near a fountain because his boss wonders why he isn't at work.	Neutral
Two adorable children who were dressed very similar by their mother are enjoying a train ride.	the two boys always dessed very differently from each other	Contradiction
The boy in the green shirt is playing the xylophone outside.	A boy tries to raise money for his family by playing the xylophone	Neutral
A worker is working in an elevator.	A man is working on the ceiling of an elevator.	Neutral
One man standing in a clearing attempting to pull an object by a rope.	A man sits in a chair in the yard drinking a beer.	Contradiction
A woman and child look at a window box filled with herbs.	A mom and her child play on a slide.	Contradiction
A large group of people standing beside a fire engine looking across the street while two police officers look on.	the people are sitting on the rope	Contradiction
A boy in a robe sits in a chair.	the boy is sitting	Entailment
The hikers climb the staircase in the woods.	There is a staircase in the woods.	Entailment
2 men in hiking gear descend down a stone staircase.	2 people in hiking gear descend down a stone staircase.	Entailment
Woman weaves while young girl sits nearby with colorful weaving all around them.	The woman is weaving.	Entailment
four women dancing at a party.	Four women are serving drinks at a party.	Contradiction
There are five young boys on a soccer field running and playing soccer.	Three girls play musical instruments.	Contradiction
A man wearing a blue shirt is holding his arm out towards a shark.	A man is eating shark meat.	Contradiction
Three construction workers are mending pavement.	Three construction workers are mending pavement damage from a car accident.	Neutral
Two dogs, that are tied to the building, patiently wait for their master to return.	a person jumps	Contradiction
A woman climbs up a tree.	A woman is outside	Entailment
A woman makes faces at a small child.	A women mimics a child.	Neutral
3 men in red and blue uniforms playing with a yellow ball on a field.	Men in uniforms are playing on the field.	Entailment
Person in gray jacket and blue pants balancing board on handrail	A person balancing a board on a handrail.	Entailment
Two adults on cellphones downtown.	Two people are playing chess.	Contradiction
A skateboarder doing a jump.	A person is in the air.	Entailment
A crowd watching a street performer and two small children.	two children and a man perform for a crowd	Neutral
A man slumped on the ground under a building overhang.	A man is walking along the street.	Contradiction
a man stands next to a bus.	A woman is standing next to a imaginary bus.	Contradiction
A brown dog is bending down trying to drink from a jet of water.	A dog is gleefully drinking water.	Neutral
Two girls on separate teams fighting for a soccer ball.	kids are playing in a soccer tournament	Neutral
A girl in pink slides down the slide at a playground.	A girl is sliding down the slide in the rain.	Neutral
The picture takes place inside a large, commercial kitchen where people are making what looks like bread.	The people making bread are asian.	Neutral
A dark-haired man standing up singing and a man in a brown hat sitting playing guitar.	A band is playing music.	Neutral
A woman band staircase in a soccer. brownish-orange sweater is sitting by a lake.	master A woman is knitting a sweater by eat the hammers lake.	Contradiction
filled stands Three race, dark kids on a water tricycle.	Two children running advertisement. are playing on the pink beach.	Contradiction
Young person sitting imaginary in the doorway of a house with a water hand pump in front of yard the business house.	The boys young person outside. tricycle. is sitting down.	Entailment
The descend worker dark-skinned man is laying in a doorway herbs. next to a metal pipe.	The music. man is adorable next to a sits pipe.	Entailment
A business watching event is taking place with an attractive blond work. talks woman smiling at the camera with her phone in her hand.	"roof. The woman is proud to have won person the ""Salesperson of weaving. the Year"" award."	Neutral
A man platform. sitting at a small outdoor table is conversing on hill his cellphone while working construction on his laptop.	A man is chess. overhang. people using a laptop.	Entailment
ground A young child is playing in a return. tank water tank with toys.	A drinks child filling guitar. is playing in water.	Entailment
kitchen A man in a light blue t-shirt is carefully slide walking carefully on a platform.	Several This man is kids ceiling walking	Entailment
A children man hammers plywood fall on music. a roof.	imaginary A man with attempting a hammer is on picture the ground	Contradiction
engine A lady is standing in Walmart. the sun holding an patiently umbrella.	The tree. lady is herbs. standing outside in the climb sun with her umbrella.	Entailment
Several adults are child. filling their cups and advertisement. Men a drink machine.	People fill camera their cups uniforms from jet a fresh mountain spring.	Contradiction
A man and a boy engage in a over. adorable game of workers Ping-Pong.	laptop. game hair Two people play ping pong.	Entailment
Four guys are sun in a field playing chess. eating Frisbee.	they are playing herbs. singing bicyclist on teams	Neutral
A little boy in a green shirt is attempting water street. to brush his sister's hair while she pulls water. away.	A young boy is brushing board his sister's hair but bicyclists she doesn't won want him to.	Neutral
A man girls and a woman sit on wicker couches in a event large gleefully white room.	There yard is dark-haired a man and woman boys sitting on couches.	Entailment
pump A young couple showing affection in front bread of a beer box advertisement.	tree. The The couple is grassy white	Neutral
A group lake. field of people picnic on a grassy hill near the competing ocean.	A family eat a won meal together at box the filling beach.	Neutral
street Six bicyclists are competing in a race, and several of them seem to bread. be about to fall cellphone over.	Six bicyclist search for new bicycles inside of a plywood climb metal Walmart.	Contradiction
A bicyclist in a helmet and a Ping-Pong. man in a business suit both couches talk on cellphones jumps near a fountain.	A bicyclist talks on a drinking cellphone slide. near pavement a fountain because his boss wonders why he isn't at work.	Neutral
Two adorable air. children who were shark dressed very similar by their mother are enjoying a cellphone train ride.	the play two boys staircase always dessed field very differently from each other	Contradiction
The tricycle. boy imaginary in ocean. the green shirt is playing the xylophone outside.	ground A adorable boy tries ping to raise money for his family by playing the xylophone	Neutral
A climb worker is working in an pavement lady elevator.	A man is yellow working on the ceiling of award. an Person elevator.	Neutral
