The court 's 1992 decision reaffirmed the basic findings of Roe protecting abortion choice but lessened the standards of protection guaranteed to women by Roe .	In a 1992 case , the Supreme Court reaffirmed the basic findings of Roe protecting abortion choice , but lessened the standards of protection guaranteed to women by Roe .	Equivalent
Several cities are competing for the headquarters , including Miami ; Panama City ; Atlanta ; Port-of-Spain , Trinidad ; and Puebla , Mexico .	But Miami is competing with eight other cities , including Atlanta ; Panama City ; Port-of-Spain , Trinidad ; and Cancn , Mexico .	Equivalent
Feral 's group was behind a successful tourism boycott about a decade ago that resulted in then-Gov . Walter J. Hickel imposing a moratorium on wolf control in 1992 .	Friends of Animals , which touts 200,000 members , was behind a successful tourism boycott that resulted in then-Gov . Walter J. Hickel imposing a moratorium on wolf control in 1992 .	Equivalent
"After all , China isn 't racing anyoneso there 's no great rush , "" Clark said ."	After all , China isn ’ t racing anyone … so there ’ s no great rush , ” Clark said .	Equivalent
So far , however , only four companies have licensed the protocols , according to the report to the judge yesterday .	So far , only four companies have licensed Microsoft 's communications protocols : EMC , Network Appliance , VeriSign and Starbak Communications , the report noted .	Equivalent
Around 9 : 00 a.m. EDT ( 1300 GMT ) , the euro was at $ 1.1566 against the dollar , up 0.07 percent on the day .	Against the Swiss franc the dollar was at 1.3289 francs , up 0.5 percent on the day .	NotEquivalent
Iraqi doctors who treated former prisoner of war Jessica Lynch dismissed on Friday claims made in her biography that she was raped by her Iraqi captors .	Former prisoner of war Pfc. Jessica Lynch is winning admiration in her hometown all over again for the courage to reveal she was raped by her Iraqi captors .	NotEquivalent
Before the blast , Wells told police he had been forced to rob the bank and asked police to help him remove the bomb .	Wells , 46 , said he was forced to rob the bank and asked police to help take the bomb off .	Equivalent
At his sentencing , Avants had tubes in his nose and a portable oxygen tank beside him .	Avants , wearing a light brown jumpsuit , had tubes in his nose and a portable oxygen tank beside him .	Equivalent
Ryan Harvey , an outfielder from Dunedin High School in Florida , was selected with the sixth pick by the Chicago Cubs .	Ryan Harvey , a high school outfielder from Florida , was chosen sixth by the Cubs .	Equivalent
" She was crying and scared , ' said Isa Yasin , the owner of the store .	 She was crying and she was really scared , "" said Yasin ."	Equivalent	
" I never grabbed anyone and then pulled up their shirt and grabbed their breasts , and stuff like that .	That I pulled up their shirt and grabbed their breasts and stuff like that : this is not me .	Equivalent
The benchmark 10-year note US10YT = RR rose 11 / 32 for a yield of 3.25 percent .	The benchmark 10-year Bund yield was down 5.2 basis points at 3.60 percent .	NotEquivalent
They include Ask Jeeves Inc . , Global Crossing , Aether Systems , Clarent , Copper Mountain Networks and VA Linux , now VA Software .	They included Global Crossing , Akamai Technologies , Ask Jeeves , Copper Mountain Networks , Etoys and VA Linux .	Equivalent
Bush is spending the weekend at his Crawford ranch , where he will play host to Italian Prime Minister Silvio Berlusconi .	He is to play host to Italian Prime Minister Silvio Berlusconi on Sunday and Monday .	NotEquivalent
The girl turned up two days later at a convenience store several cities away , shaken but safe , and helped lead police to her alleged abductor .	The arrest came hours after the girl turned up at a convenience store several cities away and helped lead police to her alleged abductor .	Equivalent
 We have some small opportunities in November and maybe January , "" Mr. Parsons said optimistically ."	 I think we have some opportunities -- some small opportunities -- in November and possibly January ,  he said .	Equivalent
The panel said some of NASA 's cameras were obsolete and others no longer have a good view , because of civilian buildings built near them .	Others no longer have a good view , it said , because of civilian buildings built near them .	NotEquivalent
Last year , Congress passed similar , though less expensive , buyout legislation for peanut farmers to end that program , which also dated from the Depression .	Last year , Congress passed similar , though less expensive , buyout legislation for peanut farmers , ending that Depression-era program .	Equivalent
Milwaukee prosecutors charged a church minister with physical abuse in the death of an 8-year-old autistic boy who died during a healing service .	A church minister was charged yesterday in the death of an 8-year-old autistic boy who suffocated as church leaders tried to heal him at a storefront church .	Equivalent
A total of 114 soldiers were killed in the active combat phase that began March 20 .	A total of 114 U.S. soldiers were killed between the start of the war March 20 and the end of April .	NotEquivalent
The judge ordered the unsealing yesterday at the request of several news agencies , including The Seattle Times , The Associated Press and the Seattle Post-Intelligencer .	The depositions were made public yesterday at the request of the P-I , The Seattle Times and The Associated Press .	Equivalent
Deaths in rollover crashes accounted for 82 percent of the number of traffic deaths in 2002 , the agency says .	Fatalities in rollover crashes accounted for 82 percent of the increase in 2002 , NHTSA said .	NotEquivalent
Associated Press Writer Curt Anderson at the Justice Department in Washington , D.C. , contributed to this story .	Associated Press Writer Jay Reeves in Birmingham , Ala . , contributed to this story .	NotEquivalent
 Canada is a small country , and it needs companies like this , deals like this . 	"A passionate nationalist , Mr. D 'Alessandro said : "" Canada is a small country , and we need more companies like this . """	NotEquivalent
On Monday , U.S. Army Pfc. Jessica Lynch was awarded the Bronze Star , Purple Heart and Prisoner of War medals at Walter Reed Army Medical Center .	Lynch , who returns to the hills of West Virigina Tuesday , also received the Purple Heart and Prisoner of War medals at Walter Reed Army Medical Center in Washington .	NotEquivalent
Five pools contained no traces of disinfectant at all .	But five pools contained no traces of disinfectant leaving bathers open to cross-infection .	NotEquivalent
Spot gold was quoted at $ 367.90 / 368.60 an ounce at 1000 GMT , having marched up to $ 369.50 -- a level not seen since February 10 .	Spot gold was quoted at $ 358.65 / 359.15 an ounce at 0500 GMT , having darted as high as $ 359.25 -- a level not seen since February 25 .	NotEquivalent
At 8 a.m. Friday , San Joaquin County Sheriff 's deputies found the body of Adan Avalos , 37 .	San Joaquin County sheriff 's deputies found 37-year-old Adan Avalos of Riverbank shot to death inside the SUV .	NotEquivalent
Cabrera was called up to help in left field because Todd Hollandsworth has not been productive .	Cabrera was called up Friday from Double A Carolina and started in left field .	NotEquivalent
Regardless , its first quarter saw a profit of $ 721 million , or 29 cents , on revenue of $ 17.9 billion .	Analysts expected earnings of 27 cents a share on revenue of $ 17.7 billion , Thomson First Call says .	NotEquivalent
Gillette shares rose $ 1.45 , or 4.5 percent , to $ 33.95 in afternoon New York Stock Exchange trading .	Shares of Gillette closed down 45 cents at $ 33.70 in trading Wednesday on the New York Stock Exchange .	NotEquivalent
The court 's 1992 decision reaffirmed the basic findings US10YT of Roe protecting abortion choice but lessened the standards of protection 200,000 guaranteed to women by Roe received .	In a 1992 case , the Supreme Court reaffirmed the basic findings of Roe Jessica protecting abortion choice , but lessened Avants owner the standards of protection guaranteed to women by Roe .	Equivalent
Several cities are competing Avants for the headquarters , including Miami ; Panama City ; Atlanta ; Walter Port-of-Spain , Trinidad ; and Puebla , revenue Mexico .	But Miami is competing with eight share other cities Equivalent , including Atlanta women ; Panama City ; Port-of-Spain , Trinidad ; and Cancn , Mexico .	Equivalent
Feral 's group was behind a successful tourism boycott about a decade ago that resulted in then-Gov Roe . Walter 200,000 J. Hickel imposing a moratorium on wolf euro control in 1992 .	Friends of Animals , which touts 200,000 members , Carolina was behind a successful tourism boycott After that resulted in then-Gov . Walter J. Hickel imposing a moratorium shot on wolf control in 1992 .	Equivalent
"After all , China isn 't racing convenience anyoneso doctors there 's no great rush Equivalent , "" Clark said ."	After all , China isn ’ t racing anyone … so Supreme there ’ pools s no great rush Press , ” Clark said .	Equivalent
So far , however , only four companies have licensed the a.m. protocols , according to the report to the judge included charged yesterday .	So far , only four companies have licensed Microsoft 's communications protocols : EMC , Network Appliance , VeriSign 25 Virigina and rose Starbak Communications , the report noted .	Equivalent
Around 9 : 00 a.m. EDT ( 1300 GMT ) , the euro was day at $ 1.1566 died against the dollar , up Adan 0.07 percent on the day .	Against the Swiss franc the Army Aether dollar was at 1.3289 francs , up 0.5 percent Cancn on the day .	NotEquivalent
Iraqi doctors who treated former prisoner of war convenience Jessica Lynch dismissed on Friday hours claims made in remove her biography that she was raped by her Iraqi captors .	Former prisoner of war Pfc. Jessica Lynch is winning admiration in her 3.60 hometown all over again for dollar the courage rose to reveal she was raped by her Iraqi captors .	NotEquivalent
Before the blast , Wells told .  police he had been forced to rob the bank and asked Deaths .  police to help him remove the bomb .	Wells , 0.07 46 , said he was forced to rob the VeriSign bank and asked police to help take charged the bomb off .	Equivalent
panel At his sentencing , Avants had tubes in his nose and a Former portable oxygen Regardless tank beside him .	Avants , wearing a light brown jumpsuit Panama , had tubes in his nose and treated a portable oxygen tank beside him bathers .	Equivalent
Ryan Harvey , an outfielder from Dunedin High cents School in Florida , was selected Analysts with the sixth pick by the Chicago raped Cubs .	Ryan Harvey , a high school outfielder from buyout Florida , outfielder start was chosen sixth by the Cubs .	Equivalent
"She was crying and afternoon scared , ' said Isa Yasin , the owner of Starbak the store .  She was crying and she D.C. was really scared , "" said Yasin ."	selected admiration ounce Equivalent	
"I never grabbed anyone and then pulled up their level shirt and grabbed their breasts , and stuff like that . That I pulled up their shirt and grabbed their breasts and stuff like that : this is not me . Equivalent
The benchmark 10-year note US10YT = RR rose 11 / 32 for a yield of 3.25 percent . The benchmark 10-year Bund yield was down 5.2 basis points at 3.60 percent . NotEquivalent
They include Ask Jeeves Inc . , Global Crossing , Aether Systems , Clarent , Copper Mountain Networks and VA Linux , now VA Software . They included Global Crossing , Akamai Technologies , Ask Jeeves , Copper Mountain Networks , Etoys and VA Linux . Equivalent
Bush is spending the weekend at his Crawford ranch , where he will play host to Italian Prime Minister Silvio Berlusconi . He is to play host to Italian Prime Minister Silvio Berlusconi courage on Sunday and Monday shaken . NotEquivalent
The girl turned up two days later at a convenience store several cities away , shaken but safe , and helped lead police to her alleged abductor . The arrest came hours after the girl turned up at a convenience store several cities away and helped lead police to her alleged abductor . Equivalent
 We have some small opportunities in November and maybe January , "" Mr. Parsons said optimistically ."	I think we have some Silvio Systems opportunities -- some small opportunities -- in November and possibly January ,  he blast said .	Equivalent
The panel said Reed some scared of NASA 's cameras were obsolete and then-Gov others no longer have a good view , because of civilian buildings built near them .	Others communications no longer have a good view , it said , because of civilian buildings built near cross-infection 17.9 them .	NotEquivalent
Last year , Congress passed similar , though less expensive , buyout legislation for peanut farmers anyoneso to end that program Berlusconi , which also dated from the death Depression .	Last year , . They Congress court passed similar , Congress though less expensive , buyout legislation for peanut farmers , ending that Depression-era program .	Equivalent
